"Variable","Label"
"hhid","case identification"
"hv000","country code and phase"
"hv001","cluster number"
"hv002","household number"
"hv003","respondent's line number (answering household questionnaire)"
"hv004","ultimate area unit"
"hv005","household sample weight (6 decimals)"
"hv006","month of interview"
"hv007","year of interview"
"hv008","date of interview (cmc)"
"hv009","number of household members"
"hv010","number of eligible women in household"
"hv011","number of eligible men in household"
"hv012","number of de jure members"
"hv013","number of de facto members"
"hv014","number of children 5 and under (de jure)"
"hv015","result of household interview"
"hv016","day of interview"
"hv017","number of visits"
"hv018","interviewer identification"
"hv019","keyer identification"
"hv020","ever-married sample"
"hv021","primary sampling unit"
"hv022","sample strata for sampling errors"
"hv023","stratification used in sample design"
"hv024","region"
"hv025","type of place of residence"
"hv026","na - place of residence"
"hv027","household selected for male interview"
"hv028","household weight for male subsample (6 decimals)"
"hv030","field supervisor"
"hv031","field editor"
"hv032","office editor"
"hv035","number of eligible children for height and weight"
"hv040","na - cluster altitude in meters"
"hv041","total adults measured"
"hv042","household selected for hemoglobin"
"hv044","household selected for domestic violence module"
"hv201","source of drinking water"
"hv202","na - source of non-drinking water"
"hv204","time to get to water source (minutes)"
"hv205","type of toilet facility"
"hv206","has electricity"
"hv207","has radio"
"hv208","has television"
"hv209","has refrigerator"
"hv210","has bicycle"
"hv211","has motorcycle/scooter"
"hv212","has car/truck"
"hv213","main floor material"
"hv214","main wall material"
"hv215","main roof material"
"hv216","number of rooms used for sleeping"
"hv217","relationship structure"
"hv218","line number of head of household"
"hv219","sex of head of household"
"hv220","age of head of household"
"hv221","has telephone (land-line)"
"hv225","share toilet with other households"
"hv226","type of cooking fuel"
"hv227","has mosquito bed net for sleeping"
"hv228","children under 5 slept under mosquito bed net last night"
"hv230a","place where household members wash their hands"
"hv230b","presence of water at hand washing place"
"hv232","items present: soap or detergent"
"hv232b","items present: ash, mud, sand"
"hv232c","na - items present: cs"
"hv232d","na - items present: cs"
"hv232e","na - items present: cs"
"hv232y","items present: none"
"hv234","na - result of salt test for iodine (ppm)"
"hv234a","result of salt test for iodine"
"hv235","location of source for water"
"hv236","na - person fetching water"
"hv237","anything done to water to make safe to drink"
"hv237a","water usually treated by: boil"
"hv237b","water usually treated by: add bleach/chlorine"
"hv237c","water usually treated by: strain through a cloth"
"hv237d","water usually treated by: use water filter"
"hv237e","water usually treated by: solar disinfection"
"hv237f","water usually treated by: let it stand and settle"
"hv237g","na - water usually treated by: cs"
"hv237h","na - water usually treated by: cs"
"hv237i","na - water usually treated by: cs"
"hv237j","na - water usually treated by: cs"
"hv237k","na - water usually treated by: cs"
"hv237x","water usually treated by: other"
"hv237z","water usually treated by: don't know"
"hv238","number of households sharing toilet"
"hv239","food cooked on stove or open fire"
"hv240","household has a chimney, hood or neither"
"hv241","food cooked in the house/ separate building/ outdoors"
"hv242","household has separate room used as kitchen"
"hv243a","has mobile telephone"
"hv243b","has watch"
"hv243c","has animal-drawn cart"
"hv243d","has boat with a motor"
"hv244","owns land usable for agriculture"
"hv245","hectares of agricultural land (1 decimal)"
"hv246","owns livestock, herds or farm animals"
"hv246a","na - owns cattle"
"hv246b","owns cows/bulls/calfs"
"hv246c","owns horses/ donkeys/ mules"
"hv246d","owns goats"
"hv246e","owns sheep"
"hv246f","owns chickens/geese/ducks"
"hv246g","owns pigs"
"hv246h","owns rabbits"
"hv246i","owns rodents"
"hv246j","owns birds for sale"
"hv246k","na - owns cs"
"hv247","has bank account"
"hv252","frequency household members smoke inside the house"
"hv253","has dwelling been sprayed against mosquitoes in last 12 months"
"hv253a","dwelling sprayed by: government worker/program"
"hv253b","dwelling sprayed by: private company"
"hv253c","dwelling sprayed by: ngo"
"hv253d","na - dwelling sprayed by: cs"
"hv253e","na - dwelling sprayed by: cs"
"hv253f","na - dwelling sprayed by: cs"
"hv253g","na - dwelling sprayed by: cs"
"hv253h","na - dwelling sprayed by: cs"
"hv253x","dwelling sprayed by: other"
"hv253z","dwelling sprayed by: don't know"
"hv270","wealth index"
"hv271","wealth index factor score (5 decimals)"
"hml1","number of mosquito bed nets"
"hml1a","number of mosquito bed nets with specific information"
"hml2","number of children under mosquito bed net previous night"
